Comment forme-t-on le passé composé en français ?|Verbe + avoir|Verbe + être|Verbe + être ou avoir ou aller|Verbe + aller|Verbe + avoir
Quel est le pronom personnel sujet de la première personne du pluriel ?|Je|Tu|Il/Elle|Nous|Nous
Quelle est la règle pour accorder les adjectifs en genre et en nombre en français ?|L'adjectif s'accorde avec le sujet en genre et en nombre.|L'adjectif s'accorde avec le complément d'objet direct en genre et en nombre.|L'adjectif s'accorde avec le complément d'objet indirect en genre et en nombre.|L'adjectif ne s'accorde pas en français.|L'adjectif s'accorde avec le sujet en genre et en nombre.
Comment forme-t-on le subjonctif présent en français ?|Radical du verbe + ais/ais/as/ions/iez/aient|Radical du verbe + é/ée/es/ons/ez/ent|Radical du verbe + ais/ais/ait/ions/iez/aient|Radical du verbe + é/ée/es/ent/ons/ez|Radical du verbe + ais/ais/as/ions/iez/aient
Quelle est la différence entre les pronoms "ce" et "cela" ?|"Ce" est un pronom personnel et "cela" est un pronom démonstratif.| "Ce" est un pronom démonstratif et "cela" est un pronom personnel.| "Ce" et "cela" sont des pronoms démonstratifs.| "Ce" et "cela" sont des pronoms personnels.| "Ce" est un pronom personnel et "cela" est un pronom démonstratif.
Comment former le présent de l'indicatif en français ?|Radical du verbe + e/es/e/ons/ez/ent|Radical du verbe + ais/ais/ait/ions/iez/aient|Radical du verbe + é/ée/es/ent/ons/ez|Radical du verbe + ais/ais/as/ions/iez/aient|Radical du verbe + e/es/e/ons/ez/ent
Quelle est la différence entre les verbes "aller" et "venir" ?|"Aller" est un verbe d'action et "venir" est un verbe de mouvement.| "Aller" est un verbe de mouvement et "venir" est un verbe d'action.| "Aller" et "venir" sont des verbes d'action.| "Aller" et "venir" sont des verbes de mouvement.| "Aller" est un verbe de mouvement et "venir" est un verbe d'action.
Comment accorder les adjectifs numéraux en français ?|Les adjectifs numéraux s'accordent en genre et en nombre avec le nom qu'ils qualifient.|Les adjectifs numéraux ne s'accordent pas en français.|Les adjectifs numéraux s'accordent seulement en genre avec le nom qu'ils qualifient.|Les adjectifs numéraux s'accordent seulement en nombre avec le nom qu'ils qualifient.|Les adjectifs numéraux s'accordent en genre et en nombre avec le nom qu'ils qualifient.
Comment former le passé simple en français ?|Radical du verbe + ai/as/a/âmes/âtes/èrent|Radical du verbe + e/es/e/ons/ez/ent|Radical du verbe + ais/ais/ait/ions/iez/aient|Radical du verbe + é/ée/es/ent/ons/ez|Radical du verbe + ai/as/a/âmes/âtes/èrent
Quelle est la différence entre les verbes "savoir" et "connaître" ?|"Savoir" exprime la connaissance intellectuelle et "connaître" exprime la connaissance personnelle.| "Savoir" exprime la connaissance personnelle et "connaître" exprime la connaissance intellectuelle.| "Savoir" et "connaître" expriment tous les deux la connaissance intellectuelle.| "Savoir" et "connaître" expriment tous les deux la connaissance personnelle.| "Savoir" exprime la connaissance intellectuelle et "connaître" exprime la connaissance personnelle.
Comment former le conditionnel présent en français ?|Radical du verbe + ais/ais/ait/ions/iez/aient|Radical du verbe + é/ée/es/ent/ons/ez|Radical du verbe + ai/as/a/âmes/âtes/èrent|Radical du verbe + e/es/e/ons/ez/ent|Radical du verbe + ais/ais/as/ions/iez/aient
